MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,PRESENT_RESIDENT,ESTABLISHED_MONTH,NUMBER_CREDITS,IS_DEFAULT
74,"0 to 200 USD",42,"CRITICAL ACCOUNT","RETRAINING",5954,"up to 100 K USD","4 to 7 YRS","NJ","1 to 2 YRS",41,2,"No"
75,"0 USD",36,"EXISTING CREDITS PAID BACK","EDUCATION",1977,"UNKNOWN/NONE","above 7 YRS","NY","4",40,1,"Yes"
76,"0 USD",12,"CRITICAL ACCOUNT","USED CAR",1526,"up to 100 K USD","above 7 YRS","NY","4",66,2,"No"
77,"0 USD",42,"EXISTING CREDITS PAID BACK","ELECTRONICS",3965,"up to 100 K USD","up to 1 YR","NY","above 4 YRS",34,1,"Yes"
78,"0 to 200 USD",11,"DELAY IN PAST","ELECTRONICS",4771,"up to 100 K USD","4 to 7 YRS","NJ","4",51,1,"No"
79,"NONE",54,"NONE TAKEN","USED CAR",9436,"UNKNOWN/NONE","1 to 4 YRS","NJ","2 to 3 YRS",39,1,"No"
80,"0 to 200 USD",30,"EXISTING CREDITS PAID BACK","FURNITURE",3832,"up to 100 K USD","up to 1 YR","NJ","1 to 2 YRS",22,1,"No"
81,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",5943,"UNKNOWN/NONE","up to 1 YR","PA","1 to 2 YRS",44,2,"Yes"
82,"NONE",15,"EXISTING CREDITS PAID BACK","ELECTRONICS",1213,"500 to 1000 K USD","above 7 YRS","NY","above 4 YRS",47,1,"No"
83,"NONE",18,"EXISTING CREDITS PAID BACK","RETRAINING",1568,"100 to 500 K USD","1 to 4 YRS","CT","4",24,1,"No"
84,"0 USD",24,"EXISTING CREDITS PAID BACK","OTHER",1755,"up to 100 K USD","above 7 YRS","NY","4",58,1,"No"
85,"0 USD",10,"EXISTING CREDITS PAID BACK","ELECTRONICS",2315,"up to 100 K USD","above 7 YRS","CT","4",52,1,"No"
86,"NONE",12,"CRITICAL ACCOUNT","RETRAINING",1412,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",29,2,"No"
87,"0 to 200 USD",18,"CRITICAL ACCOUNT","FURNITURE",1295,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",27,2,"No"
88,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","EDUCATION",12612,"100 to 500 K USD","1 to 4 YRS","PA","4",47,1,"Yes"
89,"0 USD",18,"EXISTING CREDITS PAID BACK","NEW CAR",2249,"100 to 500 K USD","4 to 7 YRS","NY","above 4 YRS",30,1,"No"
90,"0 USD",12,"NONE TAKEN","OTHER",1108,"up to 100 K USD","4 to 7 YRS","NY","above 4 YRS",28,2,"Yes"
91,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",618,"up to 100 K USD","above 7 YRS","NY","4",56,1,"No"
92,"0 USD",12,"CRITICAL ACCOUNT","USED CAR",1409,"up to 100 K USD","above 7 YRS","NY","above 4 YRS",54,1,"No"
93,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",797,"UNKNOWN/NONE","above 7 YRS","NY","above 4 YRS",33,1,"Yes"
94,"above 200 USD",24,"CRITICAL ACCOUNT","FURNITURE",3617,"UNKNOWN/NONE","above 7 YRS","NY","4",20,2,"No"
95,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1318,"above 1000 K USD","above 7 YRS","NY","4",54,1,"No"
96,"0 to 200 USD",54,"NONE TAKEN","RETRAINING",15945,"up to 100 K USD","up to 1 YR","CT","4",58,1,"Yes"
97,"NONE",12,"CRITICAL ACCOUNT","EDUCATION",2012,"UNKNOWN/NONE","4 to 7 YRS","NY","2 to 3 YRS",61,1,"No"
98,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","RETRAINING",2622,"100 to 500 K USD","1 to 4 YRS","NY","4",34,1,"No"
99,"0 to 200 USD",36,"CRITICAL ACCOUNT","ELECTRONICS",2337,"up to 100 K USD","above 7 YRS","NY","4",36,1,"No"
100,"0 to 200 USD",20,"DELAY IN PAST","USED CAR",7057,"UNKNOWN/NONE","4 to 7 YRS","CT","4",36,2,"No"
101,"NONE",24,"EXISTING CREDITS PAID BACK","NEW CAR",1469,"100 to 500 K USD","above 7 YRS","NY","4",41,1,"No"
102,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",2323,"up to 100 K USD","4 to 7 YRS","NY","4",24,1,"No"
103,"NONE",6,"DELAY IN PAST","ELECTRONICS",932,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",24,1,"No"
104,"0 to 200 USD",9,"CRITICAL ACCOUNT","FURNITURE",1919,"up to 100 K USD","4 to 7 YRS","NY","above 4 YRS",35,1,"No"
105,"NONE",12,"EXISTING CREDITS PAID BACK","USED CAR",2445,"UNKNOWN/NONE","up to 1 YR","NJ","4",26,1,"No"
106,"0 to 200 USD",24,"CRITICAL ACCOUNT","OTHER",11938,"up to 100 K USD","1 to 4 YRS","NJ","above 4 YRS",39,2,"Yes"
107,"NONE",18,"ALL CREDITS PAID BACK","NEW CAR",6458,"up to 100 K USD","above 7 YRS","NJ","4",39,2,"Yes"
108,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",6078,"up to 100 K USD","4 to 7 YRS","NJ","2 to 3 YRS",32,1,"No"
109,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",7721,"UNKNOWN/NONE","up to 1 YR","PA","2 to 3 YRS",30,1,"No"
110,"0 to 200 USD",14,"EXISTING CREDITS PAID BACK","RETRAINING",1410,"500 to 1000 K USD","above 7 YRS","PA","2 to 3 YRS",35,1,"No"
111,"0 to 200 USD",6,"DELAY IN PAST","RETRAINING",1449,"100 to 500 K USD","above 7 YRS","PA","2 to 3 YRS",31,2,"No"
112,"above 200 USD",15,"EXISTING CREDITS PAID BACK","EDUCATION",392,"up to 100 K USD","up to 1 YR","NY","4",23,1,"No"
113,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","NEW CAR",6260,"up to 100 K USD","4 to 7 YRS","CT","above 4 YRS",28,1,"No"
114,"NONE",36,"CRITICAL ACCOUNT","NEW CAR",7855,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",25,2,"Yes"
115,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1680,"500 to 1000 K USD","above 7 YRS","CT","1 to 2 YRS",35,1,"No"
116,"NONE",48,"CRITICAL ACCOUNT","ELECTRONICS",3578,"UNKNOWN/NONE","above 7 YRS","NY","1 to 2 YRS",47,1,"No"
117,"0 USD",42,"EXISTING CREDITS PAID BACK","ELECTRONICS",7174,"UNKNOWN/NONE","4 to 7 YRS","NY","above 4 YRS",30,1,"Yes"
118,"0 USD",10,"CRITICAL ACCOUNT","FURNITURE",2132,"UNKNOWN/NONE","up to 1 YR","NJ","above 4 YRS",27,2,"No"
119,"0 USD",33,"CRITICAL ACCOUNT","FURNITURE",4281,"500 to 1000 K USD","1 to 4 YRS","PA","4",23,2,"Yes"
120,"0 to 200 USD",12,"CRITICAL ACCOUNT","NEW CAR",2366,"500 to 1000 K USD","4 to 7 YRS","CT","above 4 YRS",36,1,"No"
121,"0 USD",21,"EXISTING CREDITS PAID BACK","ELECTRONICS",1835,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",25,2,"Yes"
122,"NONE",24,"CRITICAL ACCOUNT","USED CAR",3868,"up to 100 K USD","above 7 YRS","NY","2 to 3 YRS",41,2,"No"
123,"NONE",12,"EXISTING CREDITS PAID BACK","FURNITURE",1768,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",24,1,"No"
124,"above 200 USD",10,"CRITICAL ACCOUNT","NEW CAR",781,"up to 100 K USD","above 7 YRS","NY","4",63,2,"No"
125,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",1924,"UNKNOWN/NONE","up to 1 YR","NY","above 4 YRS",27,1,"Yes"
126,"0 USD",12,"CRITICAL ACCOUNT","NEW CAR",2121,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",30,2,"No"
127,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",701,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",40,1,"No"
128,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","OTHER",639,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",30,1,"Yes"
129,"0 to 200 USD",12,"CRITICAL ACCOUNT","USED CAR",1860,"up to 100 K USD","TBD","NY","2 to 3 YRS",34,2,"No"
130,"0 USD",12,"CRITICAL ACCOUNT","NEW CAR",3499,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",29,2,"Yes"
131,"0 to 200 USD",48,"EXISTING CREDITS PAID BACK","NEW CAR",8487,"UNKNOWN/NONE","4 to 7 YRS","PA","2 to 3 YRS",24,1,"No"
132,"0 USD",36,"DELAY IN PAST","EDUCATION",6887,"up to 100 K USD","1 to 4 YRS","NY","above 4 YRS",29,1,"Yes"
133,"NONE",15,"EXISTING CREDITS PAID BACK","FURNITURE",2708,"up to 100 K USD","up to 1 YR","NJ","above 4 YRS",27,2,"No"
134,"NONE",18,"EXISTING CREDITS PAID BACK","FURNITURE",1984,"up to 100 K USD","1 to 4 YRS","NY","4",47,2,"No"
135,"NONE",60,"EXISTING CREDITS PAID BACK","ELECTRONICS",10144,"100 to 500 K USD","4 to 7 YRS","NJ","4",21,1,"No"
136,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",1240,"UNKNOWN/NONE","above 7 YRS","NY","2 to 3 YRS",38,2,"No"
137,"NONE",27,"DELAY IN PAST","USED CAR",8613,"above 1000 K USD","1 to 4 YRS","NJ","2 to 3 YRS",27,2,"No"
138,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",766,"500 to 1000 K USD","1 to 4 YRS","NY","above 4 YRS",66,1,"Yes"
139,"0 to 200 USD",15,"CRITICAL ACCOUNT","ELECTRONICS",2728,"UNKNOWN/NONE","4 to 7 YRS","NY","2 to 3 YRS",35,3,"No"
140,"above 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1881,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",44,1,"No"
141,"above 200 USD",6,"EXISTING CREDITS PAID BACK","NEW CAR",709,"above 1000 K USD","up to 1 YR","NJ","2 to 3 YRS",27,1,"No"
142,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",4795,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",30,1,"No"
143,"0 USD",27,"EXISTING CREDITS PAID BACK","ELECTRONICS",3416,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",27,1,"No"
144,"0 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",2462,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",22,1,"Yes"
145,"NONE",21,"CRITICAL ACCOUNT","FURNITURE",2288,"up to 100 K USD","up to 1 YR","NY","4",23,1,"No"
146,"0 to 200 USD",48,"ALL CREDITS PAID BACK","RETRAINING",3566,"100 to 500 K USD","4 to 7 YRS","NY","2 to 3 YRS",30,1,"No"
147,"0 USD",6,"CRITICAL ACCOUNT","NEW CAR",860,"up to 100 K USD","above 7 YRS","PA","4",39,2,"No"
148,"NONE",12,"CRITICAL ACCOUNT","NEW CAR",682,"100 to 500 K USD","4 to 7 YRS","NY","above 4 YRS",51,2,"No"
149,"0 USD",36,"CRITICAL ACCOUNT","FURNITURE",5371,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",28,2,"No"
150,"NONE",18,"CRITICAL ACCOUNT","ELECTRONICS",1582,"above 1000 K USD","above 7 YRS","NY","4",46,2,"No"
151,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",1346,"100 to 500 K USD","above 7 YRS","NJ","4",42,1,"No"
152,"NONE",10,"EXISTING CREDITS PAID BACK","ELECTRONICS",1924,"up to 100 K USD","1 to 4 YRS","PA","4",38,1,"No"
153,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",5848,"up to 100 K USD","1 to 4 YRS","NY","1 to 2 YRS",24,1,"No"
154,"0 to 200 USD",24,"CRITICAL ACCOUNT","USED CAR",7758,"above 1000 K USD","above 7 YRS","NJ","4",29,1,"No"
155,"0 to 200 USD",24,"DELAY IN PAST","RETRAINING",6967,"100 to 500 K USD","4 to 7 YRS","NY","4",36,1,"No"
156,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",1282,"up to 100 K USD","1 to 4 YRS","NJ","4",20,1,"Yes"
157,"0 USD",9,"CRITICAL ACCOUNT","OTHER",1288,"100 to 500 K USD","above 7 YRS","CT","4",48,2,"No"
158,"0 USD",12,"ALL CREDITS PAID BACK","OTHER",339,"up to 100 K USD","above 7 YRS","NY","1 to 2 YRS",45,1,"No"
159,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","NEW CAR",3512,"100 to 500 K USD","4 to 7 YRS","NJ","above 4 YRS",38,2,"No"
160,"NONE",6,"CRITICAL ACCOUNT","ELECTRONICS",1898,"UNKNOWN/NONE","1 to 4 YRS","PA","2 to 3 YRS",34,2,"No"
161,"NONE",24,"CRITICAL ACCOUNT","ELECTRONICS",2872,"100 to 500 K USD","above 7 YRS","CT","4",36,1,"No"
162,"NONE",18,"CRITICAL ACCOUNT","NEW CAR",1055,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",30,2,"No"
163,"NONE",15,"EXISTING CREDITS PAID BACK","OTHER",1262,"500 to 1000 K USD","4 to 7 YRS","NY","above 4 YRS",36,2,"No"
164,"0 to 200 USD",10,"EXISTING CREDITS PAID BACK","NEW CAR",7308,"up to 100 K USD","TBD","NJ","4",70,1,"No"
165,"NONE",36,"EXISTING CREDITS PAID BACK","NEW CAR",909,"500 to 1000 K USD","above 7 YRS","NY","4",36,1,"No"
166,"NONE",6,"EXISTING CREDITS PAID BACK","FURNITURE",2978,"500 to 1000 K USD","1 to 4 YRS","PA","2 to 3 YRS",32,1,"No"
167,"0 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",1131,"up to 100 K USD","TBD","NY","2 to 3 YRS",33,1,"Yes"
168,"0 to 200 USD",11,"EXISTING CREDITS PAID BACK","FURNITURE",1577,"above 1000 K USD","up to 1 YR","NY","1 to 2 YRS",20,1,"No"
169,"NONE",24,"EXISTING CREDITS PAID BACK","FURNITURE",3972,"up to 100 K USD","4 to 7 YRS","NJ","4",25,1,"No"
170,"0 to 200 USD",24,"CRITICAL ACCOUNT","RETRAINING",1935,"up to 100 K USD","above 7 YRS","NY","4",31,2,"Yes"
171,"0 USD",15,"NONE TAKEN","NEW CAR",950,"up to 100 K USD","above 7 YRS","NY","above 4 YRS",33,2,"Yes"
172,"NONE",12,"EXISTING CREDITS PAID BACK","FURNITURE",763,"up to 100 K USD","1 to 4 YRS","NY","1 to 2 YRS",26,1,"No"
173,"0 to 200 USD",24,"DELAY IN PAST","FURNITURE",2064,"up to 100 K USD","TBD","CT","2 to 3 YRS",34,1,"Yes"
174,"0 to 200 USD",8,"EXISTING CREDITS PAID BACK","ELECTRONICS",1414,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",33,1,"No"
175,"0 USD",21,"DELAY IN PAST","EDUCATION",3414,"up to 100 K USD","up to 1 YR","NJ","1 to 2 YRS",26,2,"Yes"
176,"NONE",30,"ALL CREDITS PAID BACK","USED CAR",7485,"UNKNOWN/NONE","TBD","NY","1 to 2 YRS",53,1,"Yes"
177,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",2577,"up to 100 K USD","1 to 4 YRS","NJ","1 to 2 YRS",42,1,"No"
178,"0 USD",6,"CRITICAL ACCOUNT","ELECTRONICS",338,"500 to 1000 K USD","above 7 YRS","NY","4",52,2,"No"
179,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1963,"up to 100 K USD","4 to 7 YRS","NY","2 to 3 YRS",31,2,"No"
180,"0 USD",21,"CRITICAL ACCOUNT","NEW CAR",571,"up to 100 K USD","above 7 YRS","NY","4",65,2,"No"
181,"NONE",36,"DELAY IN PAST","RETRAINING",9572,"up to 100 K USD","up to 1 YR","PA","1 to 2 YRS",28,2,"Yes"
182,"0 to 200 USD",36,"DELAY IN PAST","RETRAINING",4455,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",30,2,"Yes"
183,"0 USD",21,"ALL CREDITS PAID BACK","NEW CAR",1647,"UNKNOWN/NONE","1 to 4 YRS","NY","2 to 3 YRS",40,2,"Yes"
184,"NONE",24,"CRITICAL ACCOUNT","FURNITURE",3777,"above 1000 K USD","1 to 4 YRS","NY","4",50,1,"No"
185,"0 to 200 USD",18,"CRITICAL ACCOUNT","NEW CAR",884,"up to 100 K USD","above 7 YRS","NY","4",36,1,"Yes"
186,"NONE",15,"CRITICAL ACCOUNT","ELECTRONICS",1360,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",31,2,"No"
187,"0 to 200 USD",9,"ALL CREDITS PAID BACK","USED CAR",5129,"up to 100 K USD","above 7 YRS","NJ","4",74,1,"Yes"
188,"0 to 200 USD",16,"CRITICAL ACCOUNT","NEW CAR",1175,"up to 100 K USD","TBD","NJ","above 4 YRS",68,3,"No"
189,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",674,"100 to 500 K USD","4 to 7 YRS","NY","1 to 2 YRS",20,1,"Yes"
190,"0 to 200 USD",18,"NONE TAKEN","FURNITURE",3244,"up to 100 K USD","1 to 4 YRS","PA","4",33,2,"No"
191,"NONE",24,"EXISTING CREDITS PAID BACK","RETRAINING",4591,"above 1000 K USD","1 to 4 YRS","NJ","above 4 YRS",54,3,"Yes"
192,"0 to 200 USD",48,"NONE TAKEN","RETRAINING",3844,"100 to 500 K USD","4 to 7 YRS","NY","4",34,1,"Yes"
193,"0 to 200 USD",27,"EXISTING CREDITS PAID BACK","RETRAINING",3915,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",36,1,"Yes"
194,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",2108,"up to 100 K USD","4 to 7 YRS","NJ","2 to 3 YRS",29,1,"No"
195,"0 to 200 USD",45,"EXISTING CREDITS PAID BACK","ELECTRONICS",3031,"100 to 500 K USD","1 to 4 YRS","NY","4",21,1,"Yes"
196,"0 to 200 USD",9,"CRITICAL ACCOUNT","EDUCATION",1501,"up to 100 K USD","above 7 YRS","NJ","above 4 YRS",34,2,"Yes"
197,"NONE",6,"CRITICAL ACCOUNT","ELECTRONICS",1382,"up to 100 K USD","1 to 4 YRS","PA","1 to 2 YRS",28,2,"No"
198,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",951,"100 to 500 K USD","up to 1 YR","NY","4",27,4,"Yes"
199,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",2760,"UNKNOWN/NONE","above 7 YRS","NY","4",36,1,"No"
200,"0 to 200 USD",18,"DELAY IN PAST","FURNITURE",4297,"up to 100 K USD","above 7 YRS","NY","above 4 YRS",40,1,"Yes"
201,"NONE",9,"CRITICAL ACCOUNT","EDUCATION",936,"500 to 1000 K USD","above 7 YRS","NY","2 to 3 YRS",52,2,"No"
202,"0 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1168,"up to 100 K USD","1 to 4 YRS","NY","above 4 YRS",27,1,"No"
203,"NONE",27,"DELAY IN PAST","RETRAINING",5117,"up to 100 K USD","4 to 7 YRS","CT","4",26,2,"No"
204,"0 USD",12,"EXISTING CREDITS PAID BACK","OTHER",902,"up to 100 K USD","4 to 7 YRS","NY","4",21,1,"Yes"
205,"NONE",12,"CRITICAL ACCOUNT","NEW CAR",1495,"up to 100 K USD","above 7 YRS","NY","1 to 2 YRS",38,2,"No"
206,"0 USD",30,"CRITICAL ACCOUNT","USED CAR",10623,"up to 100 K USD","above 7 YRS","CT","4",38,3,"No"
207,"NONE",12,"CRITICAL ACCOUNT","FURNITURE",1935,"up to 100 K USD","above 7 YRS","NY","4",43,3,"No"
208,"0 to 200 USD",12,"CRITICAL ACCOUNT","OTHER",1424,"up to 100 K USD","4 to 7 YRS","NY","above 4 YRS",26,1,"No"
209,"0 USD",24,"EXISTING CREDITS PAID BACK","RETRAINING",6568,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",21,1,"No"
210,"NONE",12,"EXISTING CREDITS PAID BACK","USED CAR",1413,"above 1000 K USD","4 to 7 YRS","CT","2 to 3 YRS",55,1,"No"
211,"NONE",9,"CRITICAL ACCOUNT","ELECTRONICS",3074,"UNKNOWN/NONE","1 to 4 YRS","PA","2 to 3 YRS",33,2,"No"
212,"NONE",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",3835,"UNKNOWN/NONE","above 7 YRS","NJ","4",45,1,"No"
213,"0 USD",27,"NONE TAKEN","RETRAINING",5293,"up to 100 K USD","TBD","NJ","4",50,2,"Yes"
214,"above 200 USD",30,"DELAY IN PAST","RETRAINING",1908,"up to 100 K USD","above 7 YRS","NY","4",66,1,"Yes"
215,"NONE",36,"CRITICAL ACCOUNT","ELECTRONICS",3342,"UNKNOWN/NONE","above 7 YRS","NY","2 to 3 YRS",51,1,"No"
216,"0 to 200 USD",6,"CRITICAL ACCOUNT","OTHER",932,"UNKNOWN/NONE","4 to 7 YRS","PA","above 4 YRS",39,2,"No"
217,"0 USD",18,"NONE TAKEN","RETRAINING",3104,"up to 100 K USD","4 to 7 YRS","CT","1 to 2 YRS",31,1,"No"
218,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",3913,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",23,1,"No"
219,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3021,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",24,1,"No"
220,"NONE",10,"EXISTING CREDITS PAID BACK","NEW CAR",1364,"up to 100 K USD","1 to 4 YRS","NJ","4",64,1,"No"
221,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",625,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",26,1,"No"
222,"0 USD",12,"EXISTING CREDITS PAID BACK","EDUCATION",1200,"UNKNOWN/NONE","1 to 4 YRS","NY","4",23,1,"No"
223,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",707,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",30,2,"No"
224,"NONE",24,"DELAY IN PAST","RETRAINING",2978,"UNKNOWN/NONE","1 to 4 YRS","NY","4",32,2,"No"
225,"NONE",15,"EXISTING CREDITS PAID BACK","USED CAR",4657,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",30,1,"No"
226,"NONE",36,"NONE TAKEN","OTHER",2613,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",27,2,"No"
227,"0 to 200 USD",48,"EXISTING CREDITS PAID BACK","ELECTRONICS",10961,"above 1000 K USD","4 to 7 YRS","PA","2 to 3 YRS",27,2,"Yes"
228,"0 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",7865,"up to 100 K USD","above 7 YRS","NY","4",53,1,"Yes"
229,"NONE",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",1478,"up to 100 K USD","4 to 7 YRS","NY","2 to 3 YRS",22,1,"Yes"
230,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3149,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",22,1,"No"
231,"above 200 USD",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",4210,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",26,1,"Yes"
232,"NONE",9,"EXISTING CREDITS PAID BACK","NEW CAR",2507,"500 to 1000 K USD","above 7 YRS","NJ","4",51,1,"No"
233,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",2141,"100 to 500 K USD","4 to 7 YRS","CT","1 to 2 YRS",35,1,"No"
234,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",866,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",25,1,"No"
235,"NONE",4,"CRITICAL ACCOUNT","ELECTRONICS",1544,"up to 100 K USD","4 to 7 YRS","NJ","1 to 2 YRS",42,3,"No"
236,"0 USD",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",1823,"up to 100 K USD","TBD","NY","2 to 3 YRS",30,1,"Yes"
237,"0 to 200 USD",6,"EXISTING CREDITS PAID BACK","NEW CAR",14555,"UNKNOWN/NONE","TBD","PA","2 to 3 YRS",23,1,"Yes"
238,"0 to 200 USD",21,"EXISTING CREDITS PAID BACK","RETRAINING",2767,"100 to 500 K USD","above 7 YRS","NY","2 to 3 YRS",61,2,"Yes"
239,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",1291,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",35,2,"No"
240,"0 USD",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",2522,"up to 100 K USD","above 7 YRS","PA","above 4 YRS",39,1,"No"
241,"0 USD",24,"EXISTING CREDITS PAID BACK","NEW CAR",915,"UNKNOWN/NONE","above 7 YRS","NY","2 to 3 YRS",29,1,"Yes"
242,"NONE",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",1595,"up to 100 K USD","4 to 7 YRS","CT","2 to 3 YRS",51,1,"No"
243,"0 USD",48,"NONE TAKEN","USED CAR",4605,"up to 100 K USD","above 7 YRS","CT","4",24,2,"Yes"
244,"NONE",12,"CRITICAL ACCOUNT","RETRAINING",1185,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",27,2,"No"
245,"NONE",12,"ALL CREDITS PAID BACK","OTHER",3447,"500 to 1000 K USD","1 to 4 YRS","NY","above 4 YRS",35,1,"No"
246,"NONE",24,"EXISTING CREDITS PAID BACK","RETRAINING",1258,"up to 100 K USD","4 to 7 YRS","NY","1 to 2 YRS",25,1,"No"
247,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",717,"up to 100 K USD","above 7 YRS","NY","4",52,3,"No"
248,"NONE",6,"NONE TAKEN","NEW CAR",1204,"100 to 500 K USD","1 to 4 YRS","NY","1 to 2 YRS",35,1,"No"
249,"above 200 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",1925,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",26,1,"No"
250,"NONE",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",433,"up to 100 K USD","TBD","CT","4",22,1,"Yes"
251,"0 USD",6,"CRITICAL ACCOUNT","NEW CAR",666,"above 1000 K USD","4 to 7 YRS","CT","4",39,2,"No"
252,"above 200 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",2251,"up to 100 K USD","1 to 4 YRS","PA","2 to 3 YRS",46,1,"No"
253,"0 to 200 USD",30,"EXISTING CREDITS PAID BACK","NEW CAR",2150,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",24,1,"Yes"
254,"NONE",24,"DELAY IN PAST","FURNITURE",4151,"100 to 500 K USD","1 to 4 YRS","NJ","above 4 YRS",35,2,"No"
255,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","FURNITURE",2030,"UNKNOWN/NONE","4 to 7 YRS","NJ","1 to 2 YRS",24,1,"No"
256,"0 to 200 USD",60,"DELAY IN PAST","ELECTRONICS",7418,"UNKNOWN/NONE","1 to 4 YRS","PA","1 to 2 YRS",27,1,"No"
